Country,Confirmed,Deaths,Recovered,Population (millions),ISO,Cases per Million,Deaths per Million
Ukraine,213160.0,4492.0,94305.0,43.69,UKR,4878.92,102.82
United Arab Emirates,87530.0,406.0,76995.0,9.91,ARE,8832.49,40.97
United Kingdom,707408.0,83312.0,2312.0,67.95,GBR,10410.71,1226.08
United States,6934236.0,201907.0,2670441.0,331.34,USA,20927.86,609.37
Uruguay,1946.0,47.0,1661.0,3.48,URY,559.2,13.51
Uzbekistan,53275.0,444.0,49649.0,33.55,UZB,1587.93,13.23
Venezuela,69439.0,574.0,58759.0,28.42,VEN,2443.31,20.2
Vietnam,1069.0,35.0,991.0,97.49,VNM,10.97,0.36
Western Sahara,10.0,1.0,8.0,0.6,ESH,16.67,1.67
Yemen,2029.0,586.0,1245.0,29.94,YEM,67.77,19.57
Zambia,14443.0,332.0,13629.0,18.47,ZMB,781.97,17.98
Zimbabwe,7725.0,227.0,6007.0,14.9,ZWE,518.46,15.23
